,region,iso3,country,year,month,unrest_index
400,Middle Africa,CAF,Central African Republic,2001,3,225
401,Middle Africa,CMR,Cameroon,2001,3,20
402,Middle Africa,COD,Democratic Republic of Congo,2001,3,1145
403,Middle Africa,TCD,Chad,2001,3,150
404,Northern Africa,DZA,Algeria,2001,3,5525
405,Northern Africa,EGY,Egypt,2001,3,25
406,Northern Africa,SDN,Sudan,2001,3,445
407,Northern Africa,TUN,Tunisia,2001,3,50
408,Southern Africa,NAM,Namibia,2001,3,150
409,Southern Africa,ZAF,South Africa,2001,3,115
410,Southern Africa,ZMB,Zambia,2001,3,25
411,Southern Africa,ZWE,Zimbabwe,2001,3,600
412,Western Africa,CIV,Ivory Coast,2001,3,670
413,Western Africa,GHA,Ghana,2001,3,25
414,Western Africa,GIN,Guinea,2001,3,450
415,Western Africa,GNB,Guinea-Bissau,2001,3,75
416,Western Africa,LBR,Liberia,2001,3,950
417,Western Africa,NER,Niger,2001,3,25
418,Western Africa,NGA,Nigeria,2001,3,200
419,Western Africa,SEN,Senegal,2001,3,125
420,Western Africa,SLE,Sierra Leone,2001,3,1475
421,Eastern Africa,BDI,Burundi,2001,4,5400
422,Eastern Africa,DJI,Djibouti,2001,4,25
423,Eastern Africa,ETH,Ethiopia,2001,4,345
424,Eastern Africa,KEN,Kenya,2001,4,825
425,Eastern Africa,MWI,Malawi,2001,4,100
426,Eastern Africa,SOM,Somalia,2001,4,225
427,Eastern Africa,TZA,Tanzania,2001,4,60
428,Eastern Africa,UGA,Uganda,2001,4,1350
429,Middle Africa,AGO,Angola,2001,4,725
430,Middle Africa,CAF,Central African Republic,2001,4,75
431,Middle Africa,CMR,Cameroon,2001,4,25
432,Middle Africa,COD,Democratic Republic of Congo,2001,4,2325
433,Middle Africa,TCD,Chad,2001,4,25
434,Northern Africa,DZA,Algeria,2001,4,945
435,Northern Africa,EGY,Egypt,2001,4,20
436,Northern Africa,MAR,Morocco,2001,4,0
437,Northern Africa,SDN,Sudan,2001,4,1925
438,Southern Africa,NAM,Namibia,2001,4,25
439,Southern Africa,ZAF,South Africa,2001,4,145
440,Southern Africa,ZMB,Zambia,2001,4,50
441,Southern Africa,ZWE,Zimbabwe,2001,4,345
442,Western Africa,CIV,Ivory Coast,2001,4,150
443,Western Africa,GHA,Ghana,2001,4,25
444,Western Africa,GIN,Guinea,2001,4,1400
445,Western Africa,LBR,Liberia,2001,4,6300
446,Western Africa,MRT,Mauritania,2001,4,20
447,Western Africa,NER,Niger,2001,4,20
448,Western Africa,NGA,Nigeria,2001,4,1425
